                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8189,                  4.102,                 4.0927,                0.01279,                0.03892,                0.00435,                0.00144,                 3.7648,                 15.751,                 4.8946,               0.070081,              0.0033244,              0.0033244
                      2,                  3.488,                 3.3998,                 3.4903,                0.01271,                0.01643,                0.00436,                0.00097,                  3.727,                 4.3289,                 3.5529,               0.040015,              0.0065918,              0.0065918
                      3,                 2.7413,                 2.5829,                 2.5961,                0.39538,                0.08329,                0.03719,                0.01179,                  2.812,                 3.1728,                 2.4895,              0.0098828,              0.0097932,              0.0097932
                      4,                 2.2999,                 2.2205,                 2.1754,                0.48913,                0.12038,                0.09209,                0.03564,                 2.4047,                 2.3847,                  2.197,               0.009703,               0.009703,               0.009703
                      5,                 2.0733,                 2.0426,                 1.9818,                0.35856,                0.17377,                0.12728,                0.05534,                  2.126,                 2.2029,                 1.9881,               0.009604,               0.009604,               0.009604
                      6,                 1.9381,                  1.904,                 1.8588,                0.37893,                0.17379,                0.14695,                 0.0657,                 2.0138,                 2.0827,                 1.8929,               0.009505,               0.009505,               0.009505
                      7,                 1.8578,                 1.8126,                 1.7813,                0.38523,                0.22454,                0.15623,                0.07369,                 1.9468,                 1.9099,                 1.8138,               0.009406,               0.009406,               0.009406
                      8,                 1.7918,                 1.7307,                 1.7256,                0.39069,                 0.1564,                0.13081,                0.05988,                 2.0368,                 2.1866,                 1.9127,               0.009307,               0.009307,               0.009307
                      9,                 1.7358,                 1.6738,                 1.6868,                0.42439,                0.19368,                0.17561,                 0.0851,                 1.8324,                 1.8336,                 1.7632,               0.009208,               0.009208,               0.009208
                     10,                 1.6972,                 1.6381,                 1.6538,                0.44646,                0.22644,                0.18545,                0.08983,                 1.7797,                 1.7475,                 1.6976,               0.009109,               0.009109,               0.009109
                     11,                 1.6536,                 1.5774,                 1.6243,                0.46884,                  0.236,                0.19435,                0.09576,                 1.7798,                   1.72,                  1.684,                0.00901,                0.00901,                0.00901
                     12,                 1.6272,                 1.5487,                 1.5986,                 0.4654,                0.23368,                0.19429,                0.09628,                 1.7727,                 1.7328,                 1.6845,               0.008911,               0.008911,               0.008911
                     13,                 1.5993,                  1.528,                 1.5765,                0.49312,                0.24781,                0.21297,                0.10732,                 1.7048,                 1.6227,                 1.6399,               0.008812,               0.008812,               0.008812
                     14,                 1.5643,                  1.483,                 1.5519,                0.48442,                0.24006,                0.21067,                0.10795,                 1.6804,                  1.613,                  1.616,               0.008713,               0.008713,               0.008713
                     15,                 1.5509,                 1.4782,                 1.5417,                0.47617,                0.25167,                 0.2128,                0.10786,                 1.6766,                 1.6323,                  1.614,               0.008614,               0.008614,               0.008614
                     16,                 1.5234,                 1.4636,                  1.527,                0.48565,                0.26222,                0.22487,                0.11344,                 1.6316,                 1.5982,                 1.5847,               0.008515,               0.008515,               0.008515
                     17,                 1.5027,                 1.4468,                 1.5175,                 0.5061,                0.24475,                0.22227,                 0.1153,                 1.6304,                 1.5958,                   1.59,               0.008416,               0.008416,               0.008416
                     18,                 1.4975,                 1.4233,                 1.5009,                0.51639,                0.26044,                0.23482,                0.12134,                  1.598,                 1.5443,                 1.5586,               0.008317,               0.008317,               0.008317
                     19,                 1.4823,                 1.4007,                 1.4865,                0.49174,                0.25843,                 0.2256,                0.11731,                 1.5981,                 1.5779,                 1.5607,               0.008218,               0.008218,               0.008218
                     20,                 1.4622,                 1.3881,                 1.4809,                0.52413,                0.27314,                0.25133,                0.12979,                 1.5839,                 1.5086,                 1.5324,               0.008119,               0.008119,               0.008119
                     21,                 1.4557,                 1.3693,                 1.4713,                 0.5376,                0.26871,                0.25331,                0.13236,                 1.5655,                 1.5086,                 1.5336,                0.00802,                0.00802,                0.00802
                     22,                 1.4434,                 1.3775,                 1.4628,                 0.5271,                0.26772,                0.25135,                0.13172,                 1.5749,                 1.5257,                 1.5429,               0.007921,               0.007921,               0.007921
                     23,                 1.4296,                 1.3563,                 1.4542,                0.53492,                0.27461,                0.25211,                0.13242,                 1.5442,                 1.5064,                 1.5304,               0.007822,               0.007822,               0.007822
                     24,                  1.421,                 1.3426,                 1.4443,                0.54633,                0.27107,                0.25651,                0.13515,                 1.5404,                  1.511,                 1.5159,               0.007723,               0.007723,               0.007723
                     25,                 1.4101,                 1.3294,                 1.4407,                0.36415,                0.27438,                0.25175,                0.13693,                 1.5246,                 1.5267,                 1.4968,               0.007624,               0.007624,               0.007624
                     26,                 1.4002,                  1.339,                 1.4463,                0.56274,                0.27807,                0.26546,                0.14025,                 1.5148,                 1.4593,                 1.4892,               0.007525,               0.007525,               0.007525
                     27,                 1.3928,                 1.3015,                  1.427,                0.53737,                0.28164,                0.26336,                0.14079,                 1.4986,                 1.4578,                 1.4818,               0.007426,               0.007426,               0.007426
                     28,                 1.3887,                 1.2966,                 1.4248,                0.57347,                0.27579,                0.27788,                0.14913,                 1.4939,                 1.4241,                 1.4778,               0.007327,               0.007327,               0.007327
                     29,                 1.3749,                 1.2866,                 1.4159,                0.56448,                0.29123,                0.28056,                0.14924,                 1.4893,                 1.4205,                 1.4754,               0.007228,               0.007228,               0.007228
                     30,                 1.3695,                 1.2943,                 1.4182,                0.40868,                0.28688,                0.26913,                 0.1457,                 1.4903,                 1.4327,                 1.4735,               0.007129,               0.007129,               0.007129
                     31,                 1.3565,                 1.2543,                 1.3969,                0.56369,                0.28854,                  0.284,                0.15237,                 1.4752,                   1.42,                 1.4578,                0.00703,                0.00703,                0.00703
                     32,                 1.3558,                 1.2579,                 1.3985,                0.39158,                0.29556,                0.28431,                 0.1539,                 1.4629,                 1.4135,                 1.4581,               0.006931,               0.006931,               0.006931
                     33,                 1.3523,                 1.2746,                  1.412,                0.55914,                0.29403,                0.28319,                0.15339,                 1.4501,                 1.3867,                 1.4528,               0.006832,               0.006832,               0.006832
                     34,                 1.3462,                 1.2556,                 1.3978,                0.56626,                0.28893,                0.28091,                 0.1544,                 1.4638,                 1.3813,                 1.4496,               0.006733,               0.006733,               0.006733
                     35,                 1.3365,                 1.2617,                 1.3979,                0.57495,                0.29921,                0.29444,                 0.1589,                 1.4505,                 1.3715,                 1.4514,               0.006634,               0.006634,               0.006634
                     36,                 1.3333,                 1.2415,                 1.3845,                 0.4095,                0.30535,                0.28177,                0.15387,                   1.46,                  1.414,                 1.4567,               0.006535,               0.006535,               0.006535
                     37,                 1.3308,                 1.2274,                 1.3795,                0.58848,                 0.2967,                0.29861,                 0.1642,                 1.4423,                 1.3563,                 1.4331,               0.006436,               0.006436,               0.006436
                     38,                 1.3296,                 1.2325,                 1.3782,                0.59671,                0.28847,                0.31085,                   0.17,                  1.427,                 1.3368,                 1.4376,               0.006337,               0.006337,               0.006337
                     39,                 1.3173,                 1.2121,                 1.3731,                0.43114,                0.29334,                0.30922,                0.16826,                 1.4278,                 1.3389,                 1.4301,               0.006238,               0.006238,               0.006238
                     40,                 1.3054,                   1.22,                 1.3701,                0.58869,                0.30101,                0.30536,                0.16753,                 1.4354,                 1.3241,                 1.4369,               0.006139,               0.006139,               0.006139
                     41,                 1.3054,                 1.2075,                 1.3697,                0.41573,                0.32895,                0.30484,                0.16661,                 1.4356,                 1.3779,                 1.4376,                0.00604,                0.00604,                0.00604
                     42,                 1.3072,                 1.2057,                 1.3708,                0.46778,                0.33106,                0.32778,                0.17556,                 1.4202,                 1.3489,                 1.4245,               0.005941,               0.005941,               0.005941
                     43,                 1.2978,                 1.2023,                 1.3678,                0.42884,                0.32641,                 0.3162,                0.17162,                 1.4261,                 1.3701,                 1.4272,               0.005842,               0.005842,               0.005842
                     44,                 1.3023,                 1.2005,                 1.3639,                0.62242,                 0.2932,                0.31158,                0.17042,                 1.4261,                 1.3255,                 1.4326,               0.005743,               0.005743,               0.005743
                     45,                 1.2833,                 1.1842,                 1.3518,                0.59745,                0.30314,                0.33068,                0.18051,                 1.4172,                 1.3028,                 1.4142,               0.005644,               0.005644,               0.005644
                     46,                 1.2815,                 1.1895,                 1.3533,                 0.6085,                0.30148,                0.31835,                 0.1754,                 1.4167,                 1.3256,                 1.4213,               0.005545,               0.005545,               0.005545
                     47,                 1.2857,                 1.2033,                 1.3603,                0.59359,                0.31057,                0.31921,                0.17367,                 1.4183,                 1.3192,                 1.4212,               0.005446,               0.005446,               0.005446
                     48,                 1.2783,                 1.1954,                 1.3583,                0.61118,                0.30775,                 0.3277,                0.17892,                 1.4078,                 1.2922,                 1.4105,               0.005347,               0.005347,               0.005347
                     49,                 1.2765,                   1.19,                 1.3512,                0.60672,                0.30978,                 0.3275,                0.17933,                 1.4084,                 1.3087,                 1.4128,               0.005248,               0.005248,               0.005248
                     50,                 1.2748,                 1.1828,                  1.349,                0.60443,                0.31222,                0.32402,                0.17783,                 1.3967,                 1.2886,                 1.4052,               0.005149,               0.005149,               0.005149
                     51,                 1.2705,                 1.1596,                 1.3426,                0.45552,                0.32764,                0.33172,                0.18285,                  1.398,                 1.2822,                 1.4042,                0.00505,                0.00505,                0.00505
                     52,                 1.2679,                 1.1603,                 1.3439,                0.43062,                0.30693,                0.32176,                0.17819,                 1.3968,                  1.319,                 1.4034,               0.004951,               0.004951,               0.004951
                     53,                 1.2651,                 1.1695,                  1.342,                  0.612,                0.31087,                0.32545,                0.18175,                 1.3865,                 1.2995,                 1.3954,               0.004852,               0.004852,               0.004852
                     54,                  1.258,                 1.1578,                 1.3423,                0.62012,                0.30147,                 0.3288,                0.18231,                 1.3887,                 1.2883,                 1.3938,               0.004753,               0.004753,               0.004753
                     55,                 1.2525,                 1.1447,                 1.3332,                0.58643,                0.31582,                0.31938,                0.17681,                 1.3906,                  1.324,                 1.3998,               0.004654,               0.004654,               0.004654
                     56,                 1.2474,                 1.1447,                 1.3375,                 0.6091,                0.30229,                0.34158,                0.18768,                 1.3804,                 1.2779,                 1.3917,               0.004555,               0.004555,               0.004555
                     57,                 1.2477,                 1.1368,                 1.3321,                0.61537,                0.31171,                0.33627,                0.18545,                 1.3923,                 1.2801,                 1.4044,               0.004456,               0.004456,               0.004456
                     58,                 1.2472,                 1.1252,                 1.3296,                0.61073,                0.31149,                0.33932,                0.18722,                 1.3826,                 1.2732,                 1.3951,               0.004357,               0.004357,               0.004357
                     59,                 1.2423,                 1.1265,                 1.3226,                0.47118,                0.30863,                0.31839,                0.17885,                 1.3877,                 1.2951,                 1.3929,               0.004258,               0.004258,               0.004258
                     60,                 1.2357,                 1.1124,                 1.3208,                0.63065,                0.31232,                0.33795,                0.18782,                 1.3809,                  1.261,                 1.3923,               0.004159,               0.004159,               0.004159
                     61,                 1.2336,                 1.1309,                  1.327,                0.61938,                0.31599,                0.34271,                0.19072,                 1.3742,                 1.2696,                 1.3871,                0.00406,                0.00406,                0.00406
                     62,                 1.2344,                 1.1162,                 1.3255,                0.41592,                0.33352,                0.33996,                0.18995,                 1.3691,                 1.2542,                  1.384,               0.003961,               0.003961,               0.003961
                     63,                 1.2275,                 1.1316,                 1.3294,                 0.4097,                0.32231,                 0.3353,                0.18474,                 1.3777,                 1.2821,                 1.3856,               0.003862,               0.003862,               0.003862
                     64,                   1.23,                 1.1141,                 1.3192,                0.45113,                0.31892,                0.33665,                0.18827,                 1.3569,                 1.2714,                 1.3764,               0.003763,               0.003763,               0.003763
                     65,                  1.216,                 1.1026,                 1.3121,                0.43641,                0.37588,                0.34782,                0.19498,                 1.3588,                 1.2625,                 1.3814,               0.003664,               0.003664,               0.003664
                     66,                 1.2234,                 1.0963,                 1.3154,                0.63525,                0.31392,                0.33751,                0.18713,                 1.3697,                 1.2616,                 1.3851,               0.003565,               0.003565,               0.003565
                     67,                 1.2217,                 1.0937,                 1.3054,                0.41199,                0.35747,                 0.3431,                0.18979,                 1.3585,                 1.2526,                 1.3765,               0.003466,               0.003466,               0.003466
                     68,                  1.218,                 1.1029,                 1.3143,                0.44272,                0.34994,                0.34998,                0.19609,                 1.3526,                 1.2445,                  1.374,               0.003367,               0.003367,               0.003367
                     69,                 1.2128,                 1.0996,                 1.3133,                0.61115,                0.33179,                0.34359,                0.19212,                  1.349,                 1.2429,                 1.3679,               0.003268,               0.003268,               0.003268
                     70,                  1.211,                 1.0839,                 1.3052,                0.44712,                0.32332,                0.34176,                0.19151,                 1.3533,                 1.2502,                 1.3733,               0.003169,               0.003169,               0.003169
                     71,                 1.2101,                 1.0851,                 1.3132,                0.43305,                0.35153,                0.34613,                0.19441,                 1.3578,                 1.2494,                 1.3745,                0.00307,                0.00307,                0.00307
                     72,                 1.2073,                 1.0842,                 1.3101,                0.63164,                 0.3133,                0.34502,                0.19258,                 1.3542,                 1.2534,                 1.3707,               0.002971,               0.002971,               0.002971
                     73,                 1.2058,                 1.0812,                 1.2999,                0.64412,                0.31932,                   0.35,                0.19647,                 1.3531,                 1.2426,                 1.3706,               0.002872,               0.002872,               0.002872
                     74,                 1.2056,                 1.0824,                 1.3058,                0.49193,                0.35305,                 0.3492,                0.19521,                 1.3543,                 1.2449,                 1.3705,               0.002773,               0.002773,               0.002773
                     75,                 1.2056,                 1.0847,                  1.304,                0.54813,                0.33205,                0.34928,                 0.1978,                  1.347,                 1.2306,                 1.3675,               0.002674,               0.002674,               0.002674
                     76,                 1.2015,                 1.0703,                  1.301,                0.64811,                0.31277,                0.34743,                0.19484,                 1.3506,                 1.2397,                 1.3703,               0.002575,               0.002575,               0.002575
                     77,                 1.1829,                 1.0456,                 1.2894,                0.45653,                0.32235,                0.34795,                0.19581,                 1.3553,                  1.247,                 1.3726,               0.002476,               0.002476,               0.002476
                     78,                 1.2012,                 1.0603,                  1.299,                0.64725,                0.31582,                0.34495,                0.19618,                 1.3462,                 1.2435,                 1.3656,               0.002377,               0.002377,               0.002377
                     79,                 1.1763,                 1.0356,                 1.2803,                0.63767,                0.31879,                0.34532,                0.19451,                 1.3451,                   1.24,                 1.3671,               0.002278,               0.002278,               0.002278
                     80,                 1.1818,                 1.0373,                 1.2877,                0.45702,                0.32242,                0.34715,                0.19537,                 1.3439,                 1.2365,                  1.363,               0.002179,               0.002179,               0.002179
                     81,                  1.186,                 1.0476,                 1.2925,                0.45175,                0.32285,                0.34147,                0.19345,                  1.339,                 1.2446,                 1.3657,                0.00208,                0.00208,                0.00208
                     82,                 1.1734,                 1.0264,                 1.2777,                0.63595,                0.32261,                0.34831,                0.19771,                 1.3357,                 1.2416,                 1.3624,               0.001981,               0.001981,               0.001981
                     83,                  1.178,                 1.0481,                 1.2899,                0.46386,                0.34083,                0.34577,                0.19578,                 1.3363,                 1.2256,                 1.3612,               0.001882,               0.001882,               0.001882
                     84,                 1.1742,                 1.0411,                 1.2856,                0.63201,                 0.3177,                0.34414,                0.19469,                 1.3365,                 1.2501,                 1.3641,               0.001783,               0.001783,               0.001783
                     85,                 1.1741,                 1.0177,                 1.2767,                0.48668,                0.34641,                0.34779,                0.19592,                 1.3377,                 1.2535,                 1.3598,               0.001684,               0.001684,               0.001684
                     86,                 1.1695,                 1.0281,                 1.2823,                0.45948,                0.35293,                0.35297,                0.19918,                 1.3361,                 1.2353,                 1.3612,               0.001585,               0.001585,               0.001585
                     87,                 1.1678,                 1.0206,                  1.281,                0.44322,                0.36978,                0.34681,                0.19552,                 1.3377,                 1.2534,                 1.3649,               0.001486,               0.001486,               0.001486
                     88,                 1.1637,                 1.0286,                 1.2841,                0.44636,                0.35338,                0.35131,                0.19897,                 1.3339,                 1.2265,                 1.3568,               0.001387,               0.001387,               0.001387
                     89,                 1.1674,                 1.0229,                 1.2818,                0.45797,                0.33104,                0.35015,                0.19821,                  1.333,                  1.242,                 1.3588,               0.001288,               0.001288,               0.001288
                     90,                  1.164,                 1.0214,                 1.2778,                0.52715,                 0.3246,                0.35478,                0.20152,                 1.3345,                 1.2388,                 1.3611,               0.001189,               0.001189,               0.001189
                     91,                 1.1854,                0.99169,                 1.2681,                0.50548,                0.32406,                0.34659,                0.19558,                 1.3474,                 1.2513,                  1.365,                0.00109,                0.00109,                0.00109
                     92,                  1.174,                0.96776,                 1.2612,                0.51881,                0.31732,                 0.3481,                0.19551,                 1.3489,                 1.2613,                 1.3634,               0.000991,               0.000991,               0.000991
                     93,                 1.1713,                0.96273,                 1.2587,                0.43643,                0.35095,                0.34422,                0.19364,                 1.3438,                 1.2722,                  1.359,               0.000892,               0.000892,               0.000892
                     94,                 1.1701,                0.95121,                 1.2605,                0.43834,                0.33659,                0.34278,                0.19396,                 1.3413,                 1.2624,                 1.3591,               0.000793,               0.000793,               0.000793
                     95,                 1.1663,                0.95002,                 1.2567,                0.45885,                0.32639,                0.34526,                 0.1959,                 1.3435,                 1.2642,                 1.3605,               0.000694,               0.000694,               0.000694
                     96,                 1.1652,                0.94313,                 1.2552,                0.47674,                0.33396,                0.35068,                0.19865,                  1.342,                 1.2559,                 1.3586,               0.000595,               0.000595,               0.000595
                     97,                 1.1617,                0.93407,                 1.2529,                0.48878,                0.33212,                0.35051,                0.19912,                 1.3421,                 1.2441,                 1.3566,               0.000496,               0.000496,               0.000496
                     98,                 1.1575,                0.93191,                 1.2505,                0.48288,                0.34286,                0.35352,                0.20027,                 1.3399,                 1.2476,                 1.3562,               0.000397,               0.000397,               0.000397
                     99,                 1.1544,                0.93059,                 1.2459,                0.49454,                0.33917,                0.34561,                0.19691,                 1.3404,                 1.2598,                 1.3573,               0.000298,               0.000298,               0.000298
                    100,                 1.1491,                 0.9231,                 1.2457,                0.47392,                0.34002,                0.35074,                0.20013,                 1.3393,                  1.251,                  1.357,               0.000199,               0.000199,               0.000199
